date,description,amount,type
2026-01-01,SALARY CREDIT ACME CORP,85000,credit
2026-01-01,RENT PAYMENT APT 4B,-25000,debit
2026-01-02,SWIGGY ORDER 45821,-620,debit
2026-01-02,UBER TRIP ID 8891,-340,debit
2026-01-03,AMAZON INDIA ORDER 221-9981,-2450,debit
2026-01-03,ELECTRICITY BILL PAY,-3200,debit
2026-01-04,NETFLIX SUBSCRIPTION,-799,debit
2026-01-04,SPOTIFY PREMIUM,-119,debit
2026-01-05,BIG BAZAAR GROCERY,-2850,debit
2026-01-05,TRANSFER TO SAVINGS,-10000,debit
2026-01-06,SALARY BONUS ACME CORP,15000,credit
2026-01-06,ZOMATO ORDER 5512,-480,debit
2026-01-07,OLA CAB 88721,-220,debit
2026-01-07,APOLLO PHARMACY,-960,debit
2026-01-08,AMAZON PAY BILL,-1450,debit
2026-01-08,WATER BILL ONLINE,-850,debit
2026-01-09,STARBUCKS COFFEE,-420,debit
2026-01-09,FLIPKART ORDER 99121,-1999,debit
2026-01-10,MOBILE RECHARGE,-699,debit
2026-01-10,INTEREST CREDIT SAVINGS,620,credit
2026-01-11,SWIGGY INSTAMART,-1280,debit
2026-01-11,UBER TRIP 9911,-315,debit
2026-01-12,DOMINOS PIZZA,-760,debit
2026-01-12,GYM MEMBERSHIP,-2200,debit
2026-01-13,AMAZON INDIA ORDER 221-9911,-870,debit
2026-01-13,TRANSFER FROM FRIEND,3500,credit
2026-01-14,ZOMATO ORDER 9921,-540,debit
2026-01-14,OLA AUTO 6671,-180,debit
2026-01-15,MEDPLUS PHARMACY,-1340,debit
2026-01-15,BOOKMYSHOW MOVIE,-560,debit
2026-01-16,LIC INSURANCE PAYMENT,-4500,debit
2026-01-16,SWIGGY ORDER 99122,-720,debit
2026-01-17,UBER EATS ORDER,-680,debit
2026-01-17,TRANSFER TO WALLET,-2000,debit
2026-01-18,FLIPKART GROCERY,-2130,debit
2026-01-18,INTEREST CREDIT FD,2100,credit
2026-01-19,AMAZON PRIME SUB,-1499,debit
2026-01-19,OLA BIKE 6611,-140,debit
2026-01-20,ZOMATO ORDER 8833,-430,debit
2026-01-20,GROCERY STORE LOCAL,-1750,debit
2026-01-21,UBER TRIP ID 7731,-265,debit
2026-01-21,HOSPITAL CONSULTATION,-1800,debit
2026-01-22,TRANSFER FROM CLIENT,12000,credit
2026-01-22,AMAZON INDIA ORDER 22991,-3650,debit
2026-01-23,SWIGGY ORDER 33881,-510,debit
2026-01-23,OLA CAB 9982,-275,debit
2026-01-24,MEDICAL STORE,-760,debit
2026-01-24,NETFLIX SUBSCRIPTION,-799,debit
2026-01-25,SPOTIFY PREMIUM,-119,debit
2026-01-25,BOOK STORE,-980,debit
2026-01-26,ZOMATO ORDER 8877,-690,debit
